date,close
2015-02-26,0.78004
2015-02-27,0.78075
2015-03-02,0.77662
2015-03-03,0.78175
2015-03-04,0.78174
2015-03-05,0.77821
2015-03-06,0.77192
2015-03-09,0.77026
2015-03-10,0.76255
2015-03-11,0.75947
2015-03-12,0.77079
2015-03-13,0.76383
2015-03-16,0.7641
2015-03-17,0.76174
2015-03-18,0.77763
2015-03-19,0.76485
2015-03-20,0.77813
2015-03-23,0.78807
2015-03-24,0.78765
2015-03-25,0.78445
2015-03-26,0.78284
2015-03-27,0.77347
2015-03-30,0.76537
2015-03-31,0.76068
2015-04-01,0.75994
2015-04-02,0.75936
2015-04-03,0.76405
2015-04-06,0.75924
2015-04-07,0.76336
2015-04-08,0.76846
2015-04-09,0.76929
2015-04-10,0.7668
2015-04-13,0.75891
2015-04-14,0.76253
2015-04-15,0.7681
2015-04-16,0.78032
2015-04-17,0.78284
2015-04-20,0.77261
2015-04-21,0.77111
2015-04-22,0.77557
2015-04-23,0.77786
2015-04-24,0.78252
2015-04-27,0.78587
2015-04-28,0.80243
2015-04-29,0.80084
2015-04-30,0.79055
2015-05-01,0.78513
2015-05-04,0.78375
2015-05-05,0.79416
2015-05-06,0.79674
2015-05-07,0.79073
2015-05-08,0.79307
2015-05-11,0.7891
2015-05-12,0.7979
2015-05-13,0.81122
2015-05-14,0.8083
2015-05-15,0.80386
2015-05-18,0.79914
2015-05-19,0.79145
2015-05-20,0.78753
2015-05-21,0.78941
2015-05-22,0.78311
2015-05-25,0.78245
2015-05-26,0.77356
2015-05-27,0.7732
2015-05-28,0.7649
2015-05-29,0.76432
2015-06-01,0.76065
2015-06-02,0.7774
2015-06-03,0.77868
2015-06-04,0.76884
2015-06-05,0.76201
2015-06-08,0.77038
2015-06-09,0.76912
2015-06-10,0.77589
2015-06-11,0.77549
2015-06-12,0.77284
2015-06-15,0.77658
2015-06-16,0.77517
2015-06-17,0.77488
2015-06-18,0.77996
2015-06-19,0.77719
2015-06-22,0.77282
2015-06-23,0.77362
2015-06-24,0.7704
2015-06-25,0.77374
2015-06-26,0.76585
2015-06-29,0.7679
2015-06-30,0.77077
2015-07-01,0.76442
2015-07-02,0.76331
2015-07-03,0.75093
2015-07-06,0.74993
2015-07-07,0.74532
2015-07-08,0.74295
2015-07-09,0.74476
2015-07-10,0.74463
2015-07-13,0.74068
2015-07-14,0.74519
2015-07-15,0.73791
2015-07-16,0.74047
2015-07-17,0.73699
2015-07-20,0.7372
2015-07-21,0.7419
2015-07-22,0.73765
2015-07-23,0.73564
2015-07-24,0.7285
2015-07-27,0.72697
2015-07-28,0.7337
2015-07-29,0.72961
2015-07-30,0.72921
2015-07-31,0.73005
2015-08-03,0.72847
2015-08-04,0.73792
2015-08-05,0.73557
2015-08-06,0.73462
2015-08-07,0.74186
2015-08-10,0.7413
2015-08-11,0.73037
2015-08-12,0.73791
2015-08-13,0.73589
2015-08-14,0.7379
2015-08-17,0.73725
2015-08-18,0.73401
2015-08-19,0.73478
2015-08-20,0.7337
2015-08-21,0.73173
2015-08-24,0.71567
2015-08-25,0.71288
2015-08-26,0.71236
2015-08-27,0.71666
2015-08-28,0.71733
2015-08-31,0.7113
2015-09-01,0.70178
2015-09-02,0.70389
2015-09-03,0.70172
2015-09-04,0.69088
2015-09-07,0.69245
2015-09-08,0.70174
2015-09-09,0.70181
2015-09-10,0.70715
2015-09-11,0.70915
